# baseband_freq_hz,power_dbfs_per_hz
-384643.6,-81.355
-384521.5,-81.516
-384399.4,-81.761
-384277.3,-81.999
-384155.3,-82.183
-384033.2,-82.470
-383911.1,-82.747
-383789.1,-82.372
-383667.0,-81.929
-383544.9,-81.847
-383422.9,-82.468
-383300.8,-82.624
-383178.7,-82.571
-383056.6,-82.575
-382934.6,-82.482
-382812.5,-82.283
-382690.4,-82.338
-382568.4,-81.991
-382446.3,-82.092
-382324.2,-82.252
-382202.1,-82.656
-382080.1,-82.849
-381958.0,-82.871
-381835.9,-82.293
-381713.9,-81.860
-381591.8,-82.014
-381469.7,-82.042
-381347.7,-82.188
-381225.6,-82.460
-381103.5,-83.081
-380981.4,-83.627
-380859.4,-83.593
-380737.3,-83.091
-380615.2,-82.891
-380493.2,-82.912
-380371.1,-82.939
-380249.0,-82.717
-380127.0,-82.520
-380004.9,-82.659
-379882.8,-82.367
-379760.7,-81.863
-379638.7,-81.592
-379516.6,-81.831
-379394.5,-82.081
-379272.5,-81.858
-379150.4,-81.855
-379028.3,-81.928
-378906.2,-81.867
-378784.2,-81.927
-378662.1,-82.041
-378540.0,-82.092
-378418.0,-82.082
-378295.9,-81.933
-378173.8,-81.858
-378051.8,-82.212
-377929.7,-82.412
-377807.6,-82.041
-377685.5,-81.346
-377563.5,-80.834
-377441.4,-81.076
-377319.3,-81.788
-377197.3,-81.683
-377075.2,-81.436
-376953.1,-81.351
-376831.1,-81.388
-376709.0,-81.302
-376586.9,-81.253
-376464.8,-81.298
-376342.8,-81.440
-376220.7,-81.816
-376098.6,-82.001
-375976.6,-81.929
-375854.5,-82.219
-375732.4,-82.371
-375610.4,-82.156
-375488.3,-81.862
-375366.2,-81.436
-375244.1,-81.515
-375122.1,-81.575
-375000.0,-81.508
-374877.9,-81.503
-374755.9,-81.495
-374633.8,-81.732
-374511.7,-81.908
-374389.6,-81.547
-374267.6,-80.599
-374145.5,-80.778
-374023.4,-81.585
-373901.4,-81.716
-373779.3,-81.463
-373657.2,-81.294
-373535.2,-81.175
-373413.1,-81.629
-373291.0,-82.228
-373168.9,-82.076
-373046.9,-81.824
-372924.8,-81.443
-372802.7,-81.153
-372680.7,-81.365
-372558.6,-81.083
-372436.5,-80.803
-372314.5,-80.944
-372192.4,-81.100
-372070.3,-81.272
-371948.2,-80.866
-371826.2,-80.624
-371704.1,-80.651
-371582.0,-81.111
-371460.0,-81.680
-371337.9,-81.733
-371215.8,-81.441
-371093.8,-80.976
-370971.7,-81.193
-370849.6,-81.256
-370727.5,-81.161
-370605.5,-80.958
-370483.4,-80.617
-370361.3,-80.944
-370239.3,-81.519
-370117.2,-81.665
-369995.1,-81.291
-369873.0,-80.875
-369751.0,-80.745
-369628.9,-81.318
-369506.8,-81.954
-369384.8,-82.037
-369262.7,-81.792
-369140.6,-81.606
-369018.6,-81.749
-368896.5,-81.986
-368774.4,-81.801
-368652.3,-81.553
-368530.3,-81.706
-368408.2,-82.363
-368286.1,-82.937
-368164.1,-82.773
-368042.0,-82.441
-367919.9,-82.083
-367797.9,-82.347
-367675.8,-82.410
-367553.7,-81.987
-367431.6,-81.651
-367309.6,-81.506
-367187.5,-81.918
-367065.4,-82.270
-366943.4,-82.214
-366821.3,-82.573
-366699.2,-82.383
-366577.1,-81.767
-366455.1,-81.086
-366333.0,-80.861
-366210.9,-80.903
-366088.9,-80.952
-365966.8,-81.101
-365844.7,-80.851
-365722.7,-80.552
-365600.6,-80.229
-365478.5,-80.272
-365356.4,-80.665
-365234.4,-80.966
-365112.3,-80.810
-364990.2,-80.594
-364868.2,-80.594
-364746.1,-80.377
-364624.0,-80.679
-364502.0,-80.728
-364379.9,-80.517
-364257.8,-80.696
-364135.7,-80.762
-364013.7,-80.493
-363891.6,-79.988
-363769.5,-79.918
-363647.5,-80.115
-363525.4,-80.083
-363403.3,-80.324
-363281.2,-81.401
-363159.2,-81.807
-363037.1,-81.501
-362915.0,-80.841
-362793.0,-80.803
-362670.9,-81.013
-362548.8,-81.014
-362426.8,-80.865
-362304.7,-80.991
-362182.6,-81.494
-362060.5,-81.787
-361938.5,-81.847
-361816.4,-82.134
-361694.3,-81.562
-361572.3,-80.932
-361450.2,-80.703
-361328.1,-81.522
-361206.1,-82.066
-361084.0,-82.018
-360961.9,-81.187
-360839.8,-80.773
-360717.8,-80.926
-360595.7,-81.232
-360473.6,-81.734
-360351.6,-81.564
-360229.5,-81.078
-360107.4,-81.381
-359985.4,-81.694
-359863.3,-82.107
-359741.2,-81.750
-359619.1,-81.716
-359497.1,-82.295
-359375.0,-82.470
-359252.9,-82.275
-359130.9,-81.754
-359008.8,-81.627
-358886.7,-81.826
-358764.6,-81.662
-358642.6,-81.227
-358520.5,-80.902
-358398.4,-81.529
-358276.4,-81.849
-358154.3,-80.821
-358032.2,-80.376
-357910.2,-80.316
-357788.1,-80.660
-357666.0,-80.936
-357543.9,-81.158
-357421.9,-81.156
-357299.8,-81.061
-357177.7,-81.328
-357055.7,-81.492
-356933.6,-82.001
-356811.5,-82.120
-356689.5,-81.464
-356567.4,-80.917
-356445.3,-81.193
-356323.2,-81.738
-356201.2,-81.632
-356079.1,-81.258
-355957.0,-81.272
-355835.0,-81.166
-355712.9,-81.452
-355590.8,-81.391
-355468.8,-81.655
-355346.7,-82.104
-355224.6,-82.381
-355102.5,-81.863
-354980.5,-81.084
-354858.4,-80.887
-354736.3,-81.725
-354614.3,-82.349
-354492.2,-82.205
-354370.1,-81.852
-354248.0,-82.137
-354126.0,-82.739
-354003.9,-83.055
-353881.8,-82.369
-353759.8,-81.926
-353637.7,-81.905
-353515.6,-82.215
-353393.6,-82.282
-353271.5,-82.163
-353149.4,-82.712
-353027.3,-83.212
-352905.3,-82.964
-352783.2,-82.831
-352661.1,-82.830
-352539.1,-83.239
-352417.0,-83.268
-352294.9,-83.384
-352172.9,-83.349
-352050.8,-82.937
-351928.7,-82.686
-351806.6,-82.715
-351684.6,-82.523
-351562.5,-82.427
-351440.4,-82.526
-351318.4,-83.113
-351196.3,-83.132
-351074.2,-82.875
-350952.1,-82.240
-350830.1,-82.224
-350708.0,-82.750
-350585.9,-82.208
-350463.9,-81.545
-350341.8,-81.453
-350219.7,-81.534
-350097.7,-81.624
-349975.6,-81.929
-349853.5,-82.313
-349731.4,-82.145
-349609.4,-82.160
-349487.3,-82.384
-349365.2,-82.952
-349243.2,-83.444
-349121.1,-83.159
-348999.0,-82.421
-348877.0,-81.999
-348754.9,-82.004
-348632.8,-81.934
-348510.7,-81.947
-348388.7,-82.296
-348266.6,-82.593
-348144.5,-82.924
-348022.5,-83.082
-347900.4,-83.137
-347778.3,-82.973
-347656.2,-83.240
-347534.2,-82.856
-347412.1,-82.023
-347290.0,-81.701
-347168.0,-81.346
-347045.9,-81.427
-346923.8,-81.747
-346801.8,-82.107
-346679.7,-82.400
-346557.6,-82.526
-346435.5,-82.262
-346313.5,-82.166
-346191.4,-82.245
-346069.3,-82.374
