# baseband_freq_hz,power_dbfs_per_hz
-368896.5,-66.741
-368774.4,-74.310
-368652.3,-72.868
-368530.3,-66.121
-368408.2,-66.239
-368286.1,-74.115
-368164.1,-70.156
-368042.0,-63.109
-367919.9,-65.450
-367797.9,-75.748
-367675.8,-69.182
-367553.7,-61.884
-367431.6,-65.347
-367309.6,-76.463
-367187.5,-69.496
-367065.4,-63.321
-366943.4,-67.261
-366821.3,-77.011
-366699.2,-67.026
-366577.1,-61.334
-366455.1,-65.601
-366333.0,-75.671
-366210.9,-66.633
-366088.9,-61.182
-365966.8,-65.322
-365844.7,-77.134
-365722.7,-69.027
-365600.6,-63.539
-365478.5,-67.772
-365356.4,-76.521
-365234.4,-68.954
-365112.3,-64.169
-364990.2,-68.859
-364868.2,-74.834
-364746.1,-64.988
-364624.0,-62.943
-364502.0,-69.901
-364379.9,-72.521
-364257.8,-61.078
-364135.7,-60.432
-364013.7,-70.207
-363891.6,-74.139
-363769.5,-63.779
-363647.5,-63.701
-363525.4,-72.677
-363403.3,-72.769
-363281.2,-63.487
-363159.2,-63.786
-363037.1,-73.596
-362915.0,-72.559
-362793.0,-62.407
-362670.9,-61.988
-362548.8,-71.143
-362426.8,-70.740
-362304.7,-62.513
-362182.6,-63.119
-362060.5,-73.143
-361938.5,-72.696
-361816.4,-65.261
-361694.3,-66.742
-361572.3,-75.273
-361450.2,-69.700
-361328.1,-63.785
-361206.1,-67.546
-361084.0,-75.978
-360961.9,-68.044
-360839.8,-62.889
-360717.8,-66.973
-360595.7,-74.781
-360473.6,-66.050
-360351.6,-61.956
-360229.5,-67.386
-360107.4,-74.712
-359985.4,-67.982
-359863.3,-64.287
-359741.2,-70.009
-359619.1,-76.041
-359497.1,-66.529
-359375.0,-63.466
-359252.9,-70.105
-359130.9,-75.814
-359008.8,-66.502
-358886.7,-63.541
-358764.6,-69.887
-358642.6,-74.195
-358520.5,-66.934
-358398.4,-65.352
-358276.4,-71.252
-358154.3,-73.920
-358032.2,-65.862
-357910.2,-65.686
-357788.1,-74.216
-357666.0,-73.842
-357543.9,-66.654
-357421.9,-66.969
-357299.8,-74.510
-357177.7,-72.531
-357055.7,-66.667
-356933.6,-68.188
-356811.5,-74.434
-356689.5,-69.298
-356567.4,-62.743
-356445.3,-65.928
-356323.2,-74.666
-356201.2,-71.405
-356079.1,-65.960
-355957.0,-69.034
-355835.0,-76.596
-355712.9,-67.652
-355590.8,-62.672
-355468.8,-68.051
-355346.7,-76.330
-355224.6,-66.928
-355102.5,-62.423
-354980.5,-67.751
-354858.4,-74.797
-354736.3,-64.317
-354614.3,-60.919
-354492.2,-67.868
-354370.1,-75.538
-354248.0,-66.378
-354126.0,-63.263
-354003.9,-70.181
-353881.8,-75.943
-353759.8,-65.761
-353637.7,-63.301
-353515.6,-70.624
-353393.6,-75.108
-353271.5,-66.534
-353149.4,-64.055
-353027.3,-71.325
-352905.3,-74.763
-352783.2,-66.768
-352661.1,-65.251
-352539.1,-72.493
-352417.0,-74.461
-352294.9,-67.508
-352172.9,-67.454
-352050.8,-75.212
-351928.7,-72.233
-351806.6,-64.761
-351684.6,-66.629
-351562.5,-75.085
-351440.4,-70.411
-351318.4,-64.270
-351196.3,-67.186
-351074.2,-74.692
-350952.1,-69.730
-350830.1,-63.846
-350708.0,-67.571
-350585.9,-76.124
-350463.9,-69.611
-350341.8,-64.110
-350219.7,-68.387
-350097.7,-76.707
-349975.6,-68.389
-349853.5,-63.619
-349731.4,-68.600
-349609.4,-76.599
-349487.3,-65.372
-349365.2,-61.611
-349243.2,-68.310
-349121.1,-76.507
-348999.0,-65.194
-348877.0,-62.292
-348754.9,-69.707
-348632.8,-76.209
-348510.7,-65.225
-348388.7,-63.012
-348266.6,-71.120
-348144.5,-76.265
-348022.5,-67.436
-347900.4,-64.868
-347778.3,-71.837
-347656.2,-75.258
-347534.2,-66.591
-347412.1,-64.760
-347290.0,-72.165
-347168.0,-76.031
-347045.9,-68.130
-346923.8,-66.701
-346801.8,-73.728
-346679.7,-74.386
-346557.6,-67.441
-346435.5,-67.976
-346313.5,-73.446
-346191.4,-72.269
-346069.3,-69.269
